feature,coef,abs_coef
cat__status_checking_account_A14,-0.5742209765907402,0.5742209765907402
cat__status_checking_account_A11,0.3985481590205872,0.3985481590205872
cat__credit_history_A34,-0.352615073009719,0.352615073009719
cat__savings_account_bonds_A61,0.3194594694006123,0.3194594694006123
num__duration_months,0.28208343607582953,0.28208343607582953
cat__purpose_A41,-0.25616576111454004,0.25616576111454004
cat__other_installment_plans_A143,-0.23827474044379748,0.23827474044379748
cat__personal_status_and_sex_A93,-0.23292662227563027,0.23292662227563027
cat__present_employment_since_A72,0.22885358027898292,0.22885358027898292
cat__present_employment_since_A74,-0.22743730558884376,0.22743730558884376
num__installment_rate_pct_income,0.2215314097464595,0.2215314097464595
cat__other_installment_plans_A141,0.21950477363829338,0.21950477363829338
cat__savings_account_bonds_A65,-0.21937404800444169,0.21937404800444169
cat__purpose_A40,0.20444100487903802,0.20444100487903802
cat__purpose_A46,0.18966836766769465,0.18966836766769465
cat__property_A124,0.18836128146580514,0.18836128146580514
cat__property_A121,-0.18522036845049894,0.18522036845049894
cat__status_checking_account_A12,0.1826123849644656,0.1826123849644656
num__credit_amount,0.17766395620537584,0.17766395620537584
cat__purpose_A43,-0.1769426977551632,0.1769426977551632
cat__credit_history_A30,0.16243756495896108,0.16243756495896108
cat__housing_A151,0.14705290964691783,0.14705290964691783
cat__housing_A152,-0.1451559726944188,0.1451559726944188
cat__foreign_worker_A201,0.12672875065175346,0.12672875065175346
cat__credit_history_A31,0.12665208186469645,0.12665208186469645
cat__foreign_worker_A202,-0.12242426582950978,0.12242426582950978
cat__savings_account_bonds_A64,-0.12203948390088273,0.12203948390088273
cat__personal_status_and_sex_A92,0.12061335384316857,0.12061335384316857
cat__personal_status_and_sex_A91,0.11563200903406376,0.11563200903406376
cat__telephone_A191,0.11211272697332052,0.11211272697332052
cat__telephone_A192,-0.10780824215107454,0.10780824215107454
cat__other_debtors_guarantors_A103,-0.08623827884140411,0.08623827884140411
cat__present_employment_since_A71,0.08405066358643684,0.08405066358643684
cat__other_debtors_guarantors_A102,0.08378857356419787,0.08378857356419787
cat__savings_account_bonds_A62,0.07727426238232221,0.07727426238232221
num__age_years,-0.062277137580633725,0.062277137580633725
num__people_liable_count,0.05803383528899131,0.05803383528899131
cat__credit_history_A32,0.05571767543096735,0.05571767543096735
cat__purpose_A45,0.05417527146594628,0.05417527146594628
cat__present_employment_since_A75,-0.052885664748058316,0.052885664748058316
cat__savings_account_bonds_A63,-0.051015715055363516,0.051015715055363516
cat__purpose_A42,0.03240056526309086,0.03240056526309086
cat__present_employment_since_A73,-0.028276788706270456,0.028276788706270456
cat__purpose_A410,-0.02678766783107995,0.02678766783107995
cat__other_installment_plans_A142,0.023074451627751718,0.023074451627751718
cat__job_A173,-0.018660439677909278,0.018660439677909278
num__present_residence_since,-0.015520334231199098,0.015520334231199098
cat__purpose_A48,-0.015274130240693039,0.015274130240693039
num__existing_credits_count,0.014366950002388294,0.014366950002388294
cat__property_A123,0.013533753783206962,0.013533753783206962
cat__property_A122,-0.012370181976268598,0.012370181976268598
cat__credit_history_A33,0.012112235577339876,0.012112235577339876
cat__job_A174,0.01060294363650267,0.01060294363650267
cat__job_A172,0.008057990514963932,0.008057990514963932
cat__other_debtors_guarantors_A101,0.006754190099451615,0.006754190099451615
cat__job_A171,0.0043039903486904564,0.0043039903486904564
cat__status_checking_account_A13,-0.0026350825720670404,0.0026350825720670404
cat__housing_A153,0.0024075478697484364,0.0024075478697484364
cat__personal_status_and_sex_A94,0.0009857442206442945,0.0009857442206442945
cat__purpose_A49,-0.0009567520671122558,0.0009567520671122558
cat__purpose_A44,-0.00025371544493652757,0.00025371544493652757
