feature,coef,abs_coef
cat__status_checking_account_A14,-0.7789857342692708,0.7789857342692708
cat__credit_history_A34,-0.5679086378913896,0.5679086378913896
cat__status_checking_account_A11,0.5255077257043186,0.5255077257043186
cat__purpose_A41,-0.511636183368039,0.511636183368039
cat__savings_account_bonds_A61,0.43812769261482365,0.43812769261482365
cat__purpose_A46,0.4194878275389309,0.4194878275389309
cat__present_employment_since_A74,-0.38673408154137373,0.38673408154137373
cat__personal_status_and_sex_A93,-0.36249127660200964,0.36249127660200964
cat__other_installment_plans_A143,-0.34661924081371304,0.34661924081371304
cat__purpose_A40,0.3218251660503597,0.3218251660503597
cat__other_installment_plans_A141,0.31894127954934337,0.31894127954934337
cat__property_A124,0.31876066498867045,0.31876066498867045
cat__credit_history_A30,0.3079666797862328,0.3079666797862328
num__duration_months,0.30572536803448364,0.30572536803448364
cat__savings_account_bonds_A65,-0.3024613135287962,0.3024613135287962
cat__present_employment_since_A72,0.301583255049881,0.301583255049881
num__installment_rate_pct_income,0.29420289246716436,0.29420289246716436
cat__foreign_worker_A202,-0.27675923215660303,0.27675923215660303
cat__property_A121,-0.26541431380947644,0.26541431380947644
cat__savings_account_bonds_A64,-0.26484061385422764,0.26484061385422764
cat__foreign_worker_A201,0.263764631367114,0.263764631367114
num__credit_amount,0.2513137639717385,0.2513137639717385
cat__housing_A151,0.23928598847484323,0.23928598847484323
cat__purpose_A43,-0.23321563538529355,0.23321563538529355
cat__status_checking_account_A12,0.22914845185508517,0.22914845185508517
cat__personal_status_and_sex_A91,0.2290508343616181,0.2290508343616181
cat__other_debtors_guarantors_A103,-0.2007780338039288,0.2007780338039288
cat__credit_history_A31,0.19957900289785954,0.19957900289785954
cat__other_debtors_guarantors_A102,0.17814043328167603,0.17814043328167603
cat__present_employment_since_A71,0.1656731396609464,0.1656731396609464
cat__telephone_A192,-0.1516172801444105,0.1516172801444105
cat__savings_account_bonds_A62,0.1492281213137835,0.1492281213137835
cat__purpose_A45,0.14616862091901767,0.14616862091901767
cat__housing_A152,-0.14137643855060003,0.14137643855060003
cat__telephone_A191,0.13862267935492115,0.13862267935492115
cat__personal_status_and_sex_A92,0.11825434103427528,0.11825434103427528
cat__housing_A153,-0.11090415071373426,0.11090415071373426
cat__purpose_A410,-0.10155086266827537,0.10155086266827537
num__people_liable_count,0.07580522505778821,0.07580522505778821
num__existing_credits_count,0.0621472464190804,0.0621472464190804
num__age_years,-0.05952560520072507,0.05952560520072507
cat__property_A122,-0.059333751626760294,0.059333751626760294
cat__present_employment_since_A75,-0.05806896726510713,0.05806896726510713
cat__purpose_A48,-0.05140794165792354,0.05140794165792354
cat__credit_history_A32,0.04365084176177163,0.04365084176177163
cat__job_A171,-0.040214409821649574,0.040214409821649574
cat__purpose_A42,0.03958120959459074,0.03958120959459074
cat__purpose_A49,-0.03696841346740421,0.03696841346740421
cat__present_employment_since_A73,-0.03544794669383438,0.03544794669383438
cat__savings_account_bonds_A63,-0.03304848733506882,0.03304848733506882
cat__job_A172,0.020650106696985093,0.020650106696985093
num__present_residence_since,-0.0191767897961837,0.0191767897961837
cat__other_installment_plans_A142,0.014683360474884829,0.014683360474884829
cat__status_checking_account_A13,0.011334955920380342,0.011334955920380342
cat__other_debtors_guarantors_A101,0.009642999732762416,0.009642999732762416
cat__property_A123,-0.0070072003419192385,0.0070072003419192385
cat__purpose_A44,-0.005278388345454342,0.005278388345454342
cat__credit_history_A33,0.0037175126560379814,0.0037175126560379814
cat__job_A174,0.0035109919918981797,0.0035109919918981797
cat__job_A173,0.0030587103432793807,0.0030587103432793807
cat__personal_status_and_sex_A94,0.002191500416632618,0.002191500416632618
