feature,coef,abs_coef
cat__checking_status_A14,-0.6696908160846237,0.6696908160846237
cat__checking_status_A11,0.46029471666523997,0.46029471666523997
cat__credit_history_A34,-0.4426324194129283,0.4426324194129283
cat__savings_status_A61,0.37344552198314745,0.37344552198314745
cat__purpose_A41,-0.3553320283608605,0.3553320283608605
num__duration_months,0.2962302979816046,0.2962302979816046
cat__employment_since_A74,-0.2948510013069829,0.2948510013069829
cat__personal_status_sex_A93,-0.28800134887563206,0.28800134887563206
cat__other_installment_plans_A143,-0.28782966483108696,0.28782966483108696
cat__purpose_A46,0.27282058450684593,0.27282058450684593
cat__employment_since_A72,0.26702214105736444,0.26702214105736444
cat__other_installment_plans_A141,0.2644471641221083,0.2644471641221083
cat__savings_status_A65,-0.2588122586520279,0.2588122586520279
cat__purpose_A40,0.25545968634751326,0.25545968634751326
num__installment_rate,0.25440470521722836,0.25440470521722836
cat__property_A124,0.23795471855749717,0.23795471855749717
cat__property_A121,-0.22038223658232775,0.22038223658232775
cat__credit_history_A30,0.21798572850117787,0.21798572850117787
cat__checking_status_A12,0.2073577048251673,0.2073577048251673
num__credit_amount,0.20682538831148878,0.20682538831148878
cat__purpose_A43,-0.20503313256458322,0.20503313256458322
cat__housing_A151,0.18221589088313142,0.18221589088313142
cat__foreign_worker_A202,-0.17725979941062658,0.17725979941062658
cat__foreign_worker_A201,0.1771139984627288,0.1771139984627288
cat__savings_status_A64,-0.17187364912092803,0.17187364912092803
cat__personal_status_sex_A91,0.15985546717116725,0.15985546717116725
cat__credit_history_A31,0.15797699526548709,0.15797699526548709
cat__housing_A152,-0.15032062386980088,0.15032062386980088
cat__other_debtors_A103,-0.1274847714803656,0.1274847714803656
cat__telephone_A192,-0.12665188542498504,0.12665188542498504
cat__telephone_A191,0.12650608447708667,0.12650608447708667
cat__personal_status_sex_A92,0.12556154569196268,0.12556154569196268
cat__other_debtors_A102,0.11837678737520616,0.11837678737520616
cat__employment_since_A71,0.11435820558783143,0.11435820558783143
cat__savings_status_A62,0.1067340654964342,0.1067340654964342
cat__purpose_A45,0.08359843702278738,0.08359843702278738
num__num_dependents,0.06625657794041376,0.06625657794041376
num__age,-0.06104818565764938,0.06104818565764938
cat__employment_since_A75,-0.05679350852137928,0.05679350852137928
cat__credit_history_A32,0.055197409315484586,0.055197409315484586
cat__savings_status_A63,-0.04963948065452145,0.04963948065452145
cat__purpose_A410,-0.048384195674967025,0.048384195674967025
num__existing_credits,0.03526806572175564,0.03526806572175564
cat__purpose_A42,0.03517744620367846,0.03517744620367846
cat__housing_A153,-0.032041067961228804,0.032041067961228804
cat__employment_since_A73,-0.029881637764730934,0.029881637764730934
cat__property_A122,-0.027706984641597845,0.027706984641597845
cat__purpose_A48,-0.025631786397909594,0.025631786397909594
cat__other_installment_plans_A142,0.023236699761083356,0.023236699761083356
num__residence_since,-0.01794012499664462,0.01794012499664462
cat__job_A173,-0.012597424051072668,0.012597424051072668
cat__credit_history_A33,0.01132648538288087,0.01132648538288087
cat__purpose_A49,-0.011267843076776541,0.011267843076776541
cat__job_A172,0.011101649293329997,0.011101649293329997
cat__property_A123,0.009988701718532302,0.009988701718532302
cat__other_debtors_A101,0.008962183157264637,0.008962183157264637
cat__job_A174,0.008292598759575328,0.008292598759575328
cat__job_A171,-0.006942624949729519,0.006942624949729519
cat__personal_status_sex_A94,0.0024385350646020103,0.0024385350646020103
cat__checking_status_A13,0.0018925936463179602,0.0018925936463179602
cat__purpose_A44,-0.0015529689536253565,0.0015529689536253565
