policy_run_id,decision_bucket,n,share
20260302T132525.164382+0000_policy_v1_logreg_20260302_132221_48bfd53,APPROVE,100,0.1
20260302T132525.164382+0000_policy_v1_logreg_20260302_132221_48bfd53,DECLINE,664,0.664
20260302T132525.164382+0000_policy_v1_logreg_20260302_132221_48bfd53,REVIEW,50,0.05
20260302T132525.164382+0000_policy_v1_logreg_20260302_132221_48bfd53,REVIEW_OVERFLOW,186,0.186
